Epoch,X1,X2,Fitness_value,Average,Standard_deviation
1,1.541482554122286,2.0856664206286197,1.6852807989020773,97.00096642490854,210.36222610000985
2,1.7907122311208319,2.26477719142369,1.1780947147522194,73.34675166206021,169.27268114514757
3,1.2723628065694221,2.9207811630004983,0.22967549446283145,58.407594418367204,163.13751564679342
4,1.2738809369170951,2.7619925964472465,0.13680593333667923,58.10095381464082,253.20181856907814
5,1.273889877614078,2.7887830969328604,0.13533985215497274,86.63426446487264,181.28312056308005
6,1.2729290507116637,2.7722648612339746,0.1345235188589512,51.93978445867117,208.06336588593032
7,1.2696829816604556,2.761895440873367,0.1334114787530604,36.15106251952691,121.35586144700868
8,1.2696829816604556,2.7729199162995783,0.13155430266903637,49.81025830480454,144.98706166942407
9,1.233303881684062,2.7729085914167335,0.10615558834929531,68.58604872172963,171.73984003788317
10,1.2330624828655274,2.7729199162995783,0.10602664173191742,45.0630520982216,140.3932813301953
11,1.1134329770038427,2.7887127634499294,0.09581116104628198,22.666321369015254,99.25817032700628
12,1.1299607494461767,2.7929119107995,0.08356977923564146,64.32885451640412,163.55259138122662
13,1.156816218996532,2.8026775360905383,0.0700905048114541,55.51275663327575,155.36320735334095
14,1.156816218996532,2.8124431613815766,0.06354883703185688,66.97079827316722,167.4978711266659
15,1.1568156229500666,2.8124431613815766,0.0635487966768285,57.64147378154509,159.17561522887996
16,1.1551788793557556,2.8124765399836456,0.06343022024705337,38.81092129070181,129.62710317784814
17,1.1551788793557556,2.8124765399836456,0.06343022024705337,82.08051454026904,185.05605729159524
18,1.1549929128585141,2.8124765399836456,0.06342079708642613,74.85459718264383,230.2271132290503
19,1.1548737035654106,2.8124765399836456,0.06341493849779577,45.75762653555626,145.9048063325012
20,1.1548737035654106,2.812477136030111,0.06341455926800557,60.27458327131483,159.50930702183095
21,1.1548737035654106,2.812477136030111,0.06341455926800557,31.603247126359733,119.89870758310764
22,1.1548737035654106,2.812477136030111,0.06341455926800557,43.60777116588399,133.75396854053753
23,1.1548737035654106,2.812477136030111,0.06341455926800557,76.20651661051136,179.7310304061747
24,1.1548737035654106,2.812477136030111,0.06341455926800557,42.41971293208831,137.49689410063584
25,1.154921387282652,2.8125224355614904,0.0633880920893913,41.81129542156921,136.02663127983953
26,1.1548737035654106,2.812552833931232,0.06336642596110963,65.24570362539598,170.03661642101665
27,1.154921387282652,2.8126297239252835,0.06331997812925598,53.384418170009035,151.10100660180885
28,1.1548737035654106,2.8320083866121877,0.05289536445714155,45.71469258018744,144.68137474818124
29,1.1548737035654106,2.8320083866121877,0.05289536445714155,47.15048959737069,142.1025913191113
30,1.1548737035654106,2.8320083866121877,0.05289536445714155,66.01656246929977,164.16822203266554
31,1.1543110357019621,2.8687057754011676,0.04316916352584951,67.07965299198119,169.03711034374237
32,1.1357334594647135,2.8687057754011676,0.035740572656045494,46.9613221680381,141.5693569159203
33,1.1345127563033337,2.8709945938287547,0.034857400051637684,44.112448788494255,139.02411370877095
34,1.1347797851198855,2.871070887776341,0.034925227949097956,56.26890776625895,159.4740545915788
35,1.1329487303778158,2.871070887776341,0.034362710208274964,41.306885059165495,131.47334042202584
36,1.130259368725401,2.871037509174272,0.03360555474986262,49.637431887780664,147.47002013173625
37,1.0954407183957322,2.8710702917298754,0.03021785017374153,25.611917635684666,109.50936039642296
38,1.0954884021129736,2.871070887776341,0.030213875287697436,87.37880947386665,244.50169181468678
39,1.0960224597460773,2.871070887776341,0.030174419863589284,65.23110876568059,168.20175643746649
40,1.0953739611915942,2.8722915909377207,0.02958769629500239,72.73314793841,176.00265639197667
41,1.0953739611915942,2.8722915909377207,0.02958769629500239,62.663341451854656,164.28103251195813
